# tss1 lambdaplusaplus lambdaminusaminus lambdaplusaminus lambdaminusaplus
11.62 18.0447575381095 21.3098970107616 18.0446945344692 21.309971414963
11.76 17.6011793343279 20.8277487760148 17.60111787945 20.8278214967799
11.9 17.1685052184762 20.3565094123974 17.1684452742888 20.3565804878148
12.04 16.7464671450722 19.8959321006517 16.7464086744393 19.8960015679485
12.18 16.3348036577568 19.4457756059429 16.3347466244554 19.4458435015035
12.32 15.9332597273199 19.0058041515078 15.9332040960174 19.0058705108937
12.46 15.5415865937073 18.5757872951633 15.5415323299395 18.5758521531313
12.6 15.1595416119117 18.1554998086085 15.1594886820618 18.155563199129
12.74 14.7868881016518 17.7447215594576 14.7868364729293 17.7447835157325
12.88 14.423395200747 17.3432373959422 14.4233448411674 17.343297950422
13.02 14.0688377220961 16.9508370342218 14.0687886004612 16.9508962186229
13.16 13.7229960141716 16.5673149482444 13.7229481000501 16.5673727935657
13.3 13.3856558249442 16.192470262099 13.3856090886529 16.1925267986378
13.44 13.0566081691512 15.8261066448033 13.0565625817365 15.8261619021716
13.58 12.7356491988286 15.4680322074725 12.7356047320487 15.4680862146122
13.72 12.4225800770253 15.1180594028141 12.4225367033327 15.1181121880123
13.86 12.1172068546219 14.776004926897 12.1171645471461 14.7760565178008
