# rre fre rdif fdif
1.49800399201597 0.33491770232894 1.601 0.315847318506865
1.51377245508982 0.333148279197981 1.6168 0.313947276420285
1.52954091816367 0.33135224628749 1.6326 0.312028949901119
1.54530938123752 0.32953086928952 1.6484 0.31009338315266
1.56107784431138 0.327685380806146 1.6642 0.308141592048103
1.57684630738523 0.325816981075044 1.68 0.306174564764222
1.59261477045908 0.323926838680467 1.6958 0.304193262402068
1.60838323353293 0.3220160912499 1.7116 0.302198619594951
1.62415169660679 0.320085846136661 1.7274 0.300191545103955
1.63992015968064 0.318137181088723 1.7432 0.298172922401222
1.65568862275449 0.316171144904017 1.759 0.296143610241254
1.67145708582834 0.314188758072476 1.7748 0.294104443220457
1.6872255489022 0.312191013405082 1.7906 0.292056232325173
1.70299401197605 0.310178876650149 1.8064 0.289999765468411
