# xs ys ysn ysd ysdn ys2d ys2dn ysad ysadn
-0.856 0.258375654439362 0.238158924304898 -1.5838085148585 -1.80255019470704 -13.1563875988634 -8.76476307617181 0.281790738645496 0.284858186081075
-0.848 0.245285162189956 0.223458084561696 -1.68868103894031 -1.87264920589098 -13.0562476283001 -8.75684631725624 0.283351097645022 0.286705027991347
-0.84 0.231359247270106 0.208196909688947 -1.79261989160603 -1.94260821916388 -12.9228908515843 -8.72961139585719 0.285289031615134 0.288432021097148
-0.832 0.216606446821228 0.192377147543314 -1.89535755354243 -2.01226906096138 -12.7558847265399 -8.68215447216294 0.287079918021052 0.290034688865264
-0.824 0.201037451097447 0.176001840074119 -1.99662337727448 -2.08146641056037 -12.5548802487131 -8.61359336721297 0.288749525211736 0.29150857388358
-0.816 0.184665125786616 0.159075379757755 -2.0961442670469 -2.15002799205653 -12.3196148118628 -8.5230722586238 0.290291380532017 0.29284924844059
-0.808 0.167504528802997 0.141603564344567 -2.19364538074483 -2.21777480443819 -12.049914855018 -8.40976650608111 0.291699122403637 0.29405232554982
-0.8 0.149572921382253 0.123593649609508 -2.28885085209264 -2.28452139072364 -11.7456982827558 -8.27288758855427 0.292966517918598 0.295113470404464
-0.792 0.13088977332392 0.105054399790647 -2.38148453126496 -2.35007614697806 -11.4069766458902 -8.11168813358726 0.294087480500302 0.296028412244982
-0.784 0.111476762241862 0.085996135393799 -2.47127074194392 -2.4142416718629 -11.0338570703565 -7.92546701745762 0.295056087584976 0.296792956619884
-0.776 0.0913577666993308 0.0664307780369884 -2.55793505276146 -2.47681515719473 -10.6265439227333 -7.71357451348423 0.295866598274798 0.297402998017336
-0.768 0.0705588531220767 0.0463718920053543 -2.64120506097603 -2.53758881980316 -10.1853402015499 -7.47541746431992 0.296513470913223 0.297854532842581
-0.76 0.0491082564005396 0.0258347221856401 -2.72081118614888 -2.59635037477826 -9.71064864429498 -7.21046445269841 0.296991380532229 0.298143672713534
-0.752 0.0270363541103079 0.00483622804946671 -2.79648747150819 -2.65288354998891 -9.20297254085413 -6.91825094383062 0.297295236120532 0.298266658044277
-0.744 0.00437563429883577 -0.0166048866435778 -2.86797239061796 -2.70696864153399 -8.66291624497658 -6.59838437147654 0.297420197661351 0.29821987188351
-0.736 -0.0188393431942754 -0.0384681487483757 -2.93500965690562 -2.75838310956047 -8.09118537628083 -6.25054913866873 0.297361692887937 0.297999853972422
-0.728 -0.0425719918963265 -0.0607312955621355 -2.9973490335456 -2.80690221364632 -7.48858670627124 -5.8745115031452 0.297115433704918 0.297603314983854
-0.72 -0.0667837503325753 -0.0833702598901768 -3.05474714114846 -2.85229968670355 -6.85602772283841 -5.47012431677567 0.296677432223473 0.297027150902094
-0.712 -0.091434140101401 -0.106359160652787 -3.10696826066453 -2.89434844610845 -6.1945158687565 -5.03733158764819 0.296044016358482 0.29626845750017
-0.704 -0.116480830344824 -0.129670299324963 -3.15378512887983 -2.9328213405132 -5.50515745076664 -4.57617283303488 0.295211844936144 0.295324544869165
-0.696 -0.141879708544552 -0.153274162487455 -3.19497972385898 -2.96749193053808 -4.78915621694322 -4.08678719118595 0.294177922260961 0.29419295195173
-0.688 -0.16758495755249 -0.177139430752097 -3.23034403767579 -2.99813530128612 -4.04781160117566 -3.56941725982258 0.292939612091722 0.292871461029872
-0.68 -0.193549138743375 -0.201232994306909 -3.25968083376792 -3.02452890436574 -3.28251663475788 -3.02441262931763 0.291494650976848 0.291358112115022
-0.672 -0.219723281155868 -0.22551997530694 -3.282804386256 -3.04645342685188 -2.49475552625773 -2.45223307888022 0.289841160900519 0.28965121718649
-0.664 -0.246056976467241 -0.249963757315227 -3.29954119858249 -3.06369368436448 -1.68610091203359 -1.85345140459962 0.287977661192115 0.287749374222729
-0.656 -0.272498479625694 -0.274526021974706 -3.30973069884864 -3.07603953519721 -0.858210780972277 -1.22875584896435 0.285889422202777 0.285651480968265
-0.648 -0.298994814943539 -0.299166793066419 -3.31322590926187 -3.08328681218993 -0.0128250782350044 -0.578952102455113 0.283604063841189 0.283356748377786
-0.64 -0.325491887433887 -0.323844488081955 -3.30989408714874 -3.08523826880767 0.848238005985854 0.0950351509790068 0.28110669320009 0.280864713677804
-0.632 -0.351934599153385 -0.348515977408892 -3.29961733504161 -3.08170453566929 1.72308605548517 0.792161171313978 0.278397523544572 0.27817525298532
-0.624 -0.378266970293822 -0.373136651197123 -3.28229317740979 -3.07250508356135 2.60975674641885 1.51126060780082 0.275465946699351 0.275288593422336
-0.616 -0.404432264746273 -0.397660493941443 -3.2578351016779 -3.05746918877924 3.50622245542127 2.25104747546852 0.272336164739953 0.27220532466457
-0.608 -0.430373119842928 -0.422040166781761 -3.22617306125583 -3.03643689646074 4.41039514667934 3.01011568386326 0.268997906445176 0.268926409862636
-0.6 -0.456031679963891 -0.446227097487036 -3.18725393839579 -3.00925997741734 5.32013152602316 3.78694013677905 0.265453195874051 0.265453195874051
-0.592 -0.481349733679161 -0.470171578052439 -3.1410419647917 -2.9758028738288 6.23323844896712 4.57987841919796 0.261704521578011 0.261787422744857
-0.584 -0.506268854079754 -0.493822869801713 -3.08751909794531 -2.93594362904749 7.1474785685412 5.38717308492223 0.257754838899085 0.257931232380361
-0.576 -0.530730541936583 -0.517129315848275 -3.02668535144087 -2.88957479666264 8.06057620769417 6.20695455545621 0.25360757113249 0.253887176345512
-0.568 -0.554676371311356 -0.540038460729479 -2.9585590773961 -2.8366043239027 8.97022344003449 7.03724463759766 0.249266609532482 0.249658222736759
-0.56 -0.57804813723041 -0.562497176988898 -2.88317719949091 -2.77695640440686 9.87408636170325 7.87596066393827 0.244736312143378 0.245247762068877
-0.552 -0.60078800502018 -0.584451798441629 -2.80059539511674 -2.7105722953773 10.7698115362538 8.72092025707076 0.240021501440878 0.240659612122216
-0.544 -0.622838660891931 -0.605848259817723 -2.71088822533784 -2.6374110941307 11.6550325935458 9.5698467147707 0.235127460772038 0.235898021698097
-0.536 -0.644143463353533 -0.626632242439128 -2.61414921151109 -2.55745046910447 12.5273769628561 10.4203750097873 0.230007170334451 0.230967673232683
-0.528 -0.664646595017467 -0.646749325546203 -2.51049085757234 -2.47068734043858 13.3844727196602 11.2700583941574 0.224778286545911 0.225873684222568
-0.52 -0.684293214366975 -0.666145142851217 -2.4000446171643 -2.37713850534969 14.2239555248659 12.1163755941762 0.219388210032459 0.220621607418552
-0.512 -0.703029607036373 -0.68476554385842 -2.28296080495338 -2.27684120364062 15.0434756346653 12.9567385783373 0.213844042527885 0.215217429747603
-0.504 -0.720803336157007 -0.702556759453692 -2.15940845165955 -2.16985361884484 15.8407049586426 13.7885008767206 0.208153309110962 0.209667569926834
-0.496 -0.737563391317251 -0.719465571231431 -2.02957510250439 -2.05625531069333 16.6133441433103 14.6089664264877 0.202323947411963 0.203978874737449
-0.488 -0.753260335683335 -0.73543948399274 -1.89366655896621 -1.93614757480879 17.3591296578719 15.4153989143558 0.196364295634883 0.198158613931001
-0.48 -0.767846450827633 -0.750426900817163 -1.75190656391859 -1.80965372578049 18.0758408587051 16.2050315832098 0.190283079411864 0.192214473744964
-0.472 -0.781275878812409 -0.764377300080549 -1.60453643041706 -1.67691930005004 18.761307008849 16.9750774663821 0.184089397509983 0.186154549009515
-0.464 -0.793504761079908 -0.777241413764258 -1.4518146145894 -1.53811217534425 19.4134142286454 17.7227400096285 0.177792706414158 0.179987333832558
